source hex,source int,source,source len,source bytes,destination hex,destination int,destination,destination len,destination bytes,diff,diff bytes
0041,65,A,1,65,0061,97,a,1,97,32,32
0042,66,B,1,66,0062,98,b,1,98,32,32
0043,67,C,1,67,0063,99,c,1,99,32,32
0044,68,D,1,68,0064,100,d,1,100,32,32
0045,69,E,1,69,0065,101,e,1,101,32,32
0046,70,F,1,70,0066,102,f,1,102,32,32
0047,71,G,1,71,0067,103,g,1,103,32,32
0048,72,H,1,72,0068,104,h,1,104,32,32
0049,73,I,1,73,0069,105,i,1,105,32,32
004A,74,J,1,74,006A,106,j,1,106,32,32
004B,75,K,1,75,006B,107,k,1,107,32,32
004C,76,L,1,76,006C,108,l,1,108,32,32
004D,77,M,1,77,006D,109,m,1,109,32,32
004E,78,N,1,78,006E,110,n,1,110,32,32
004F,79,O,1,79,006F,111,o,1,111,32,32
0050,80,P,1,80,0070,112,p,1,112,32,32
0051,81,Q,1,81,0071,113,q,1,113,32,32
0052,82,R,1,82,0072,114,r,1,114,32,32
0053,83,S,1,83,0073,115,s,1,115,32,32
0054,84,T,1,84,0074,116,t,1,116,32,32
0055,85,U,1,85,0075,117,u,1,117,32,32
0056,86,V,1,86,0076,118,v,1,118,32,32
0057,87,W,1,87,0077,119,w,1,119,32,32
0058,88,X,1,88,0078,120,x,1,120,32,32
0059,89,Y,1,89,0079,121,y,1,121,32,32
005A,90,Z,1,90,007A,122,z,1,122,32,32
00C0,192,À,2,195 128,00E0,224,à,2,195 160,32,0 32
00C1,193,Á,2,195 129,00E1,225,á,2,195 161,32,0 32
00C2,194,Â,2,195 130,00E2,226,â,2,195 162,32,0 32
00C3,195,Ã,2,195 131,00E3,227,ã,2,195 163,32,0 32
00C4,196,Ä,2,195 132,00E4,228,ä,2,195 164,32,0 32
00C5,197,Å,2,195 133,00E5,229,å,2,195 165,32,0 32
00C6,198,Æ,2,195 134,00E6,230,æ,2,195 166,32,0 32
00C7,199,Ç,2,195 135,00E7,231,ç,2,195 167,32,0 32
00C8,200,È,2,195 136,00E8,232,è,2,195 168,32,0 32
00C9,201,É,2,195 137,00E9,233,é,2,195 169,32,0 32
00CA,202,Ê,2,195 138,00EA,234,ê,2,195 170,32,0 32
00CB,203,Ë,2,195 139,00EB,235,ë,2,195 171,32,0 32
