source hex,source int,source,source len,source bytes,destination hex,destination int,destination,destination len,destination bytes,diff,diff bytes
0061,97,a,1,97,0041,65,A,1,65,-32,32
0062,98,b,1,98,0042,66,B,1,66,-32,32
0063,99,c,1,99,0043,67,C,1,67,-32,32
0064,100,d,1,100,0044,68,D,1,68,-32,32
0065,101,e,1,101,0045,69,E,1,69,-32,32
0066,102,f,1,102,0046,70,F,1,70,-32,32
0067,103,g,1,103,0047,71,G,1,71,-32,32
0068,104,h,1,104,0048,72,H,1,72,-32,32
0069,105,i,1,105,0049,73,I,1,73,-32,32
006A,106,j,1,106,004A,74,J,1,74,-32,32
006B,107,k,1,107,004B,75,K,1,75,-32,32
006C,108,l,1,108,004C,76,L,1,76,-32,32
006D,109,m,1,109,004D,77,M,1,77,-32,32
006E,110,n,1,110,004E,78,N,1,78,-32,32
006F,111,o,1,111,004F,79,O,1,79,-32,32
0070,112,p,1,112,0050,80,P,1,80,-32,32
0071,113,q,1,113,0051,81,Q,1,81,-32,32
0072,114,r,1,114,0052,82,R,1,82,-32,32
0073,115,s,1,115,0053,83,S,1,83,-32,32
0074,116,t,1,116,0054,84,T,1,84,-32,32
0075,117,u,1,117,0055,85,U,1,85,-32,32
0076,118,v,1,118,0056,86,V,1,86,-32,32
0077,119,w,1,119,0057,87,W,1,87,-32,32
0078,120,x,1,120,0058,88,X,1,88,-32,32
0079,121,y,1,121,0059,89,Y,1,89,-32,32
007A,122,z,1,122,005A,90,Z,1,90,-32,32
00B5,181,µ,2,194 181,039C,924,Μ,2,206 156,743,12 41
00DF,223,ß,2,195 159,0053 0053,83 83,SS,2,83 83,,144 204
00E0,224,à,2,195 160,00C0,192,À,2,195 128,-32,0 32
00E1,225,á,2,195 161,00C1,193,Á,2,195 129,-32,0 32
00E2,226,â,2,195 162,00C2,194,Â,2,195 130,-32,0 32
00E3,227,ã,2,195 163,00C3,195,Ã,2,195 131,-32,0 32
00E4,228,ä,2,195 164,00C4,196,Ä,2,195 132,-32,0 32
00E5,229,å,2,195 165,00C5,197,Å,2,195 133,-32,0 32
00E6,230,æ,2,195 166,00C6,198,Æ,2,195 134,-32,0 32
00E7,231,ç,2,195 167,00C7,199,Ç,2,195 135,-32,0 32
00E8,232,è,2,195 168,00C8,200,È,2,195 136,-32,0 32
00E9,233,é,2,195 169,00C9,201,É,2,195 137,-32,0 32
00EA,234,ê,2,195 170,00CA,202,Ê,2,195 138,-32,0 32
00EB,235,ë,2,195 171,00CB,203,Ë,2,195 139,-32,0 32
00EC,236,ì,2,195 172,00CC,204,Ì,2,195 140,-32,0 32
00ED,237,í,2,195 173,00CD,205,Í,2,195 141,-32,0 32
00EE,238,î,2,195 174,00CE,206,Î,2,195 142,-32,0 32
00EF,239,ï,2,195 175,00CF,207,Ï,2,195 143,-32,0 32
00F0,240,ð,2,195 176,00D0,208,Ð,2,195 144,-32,0 32
00F1,241,ñ,2,195 177,00D1,209,Ñ,2,195 145,-32,0 32
00F2,242,ò,2,195 178,00D2,210,Ò,2,195 146,-32,0 32
00F3,243,ó,2,195 179,00D3,211,Ó,2,195 147,-32,0 32
00F4,244,ô,2,195 180,00D4,212,Ô,2,195 148,-32,0 32
00F5,245,õ,2,195 181,00D5,213,Õ,2,195 149,-32,0 32
00F6,246,ö,2,195 182,00D6,214,Ö,2,195 150,-32,0 32
00F8,248,ø,2,195 184,00D8,216,Ø,2,195 152,-32,0 32
00F9,249,ù,2,195 185,00D9,217,Ù,2,195 153,-32,0 32
00FA,250,ú,2,195 186,00DA,218,Ú,2,195 154,-32,0 32
00FB,251,û,2,195 187,00DB,219,Û,2,195 155,-32,0 32
00FC,252,ü,2,195 188,00DC,220,Ü,2,195 156,-32,0 32
00FD,253,ý,2,195 189,00DD,221,Ý,2,195 157,-32,0 32
00FE,254,þ,2,195 190,00DE,222,Þ,2,195 158,-32,0 32
00FF,255,ÿ,2,195 191,0178,376,Ÿ,2,197 184,121,6 7
0101,257,ā,2,196 129,0100,256,Ā,2,196 128,-1,0 1
0103,259,ă,2,196 131,0102,258,Ă,2,196 130,-1,0 1
0105,261,ą,2,196 133,0104,260,Ą,2,196 132,-1,0 1
0107,263,ć,2,196 135,0106,262,Ć,2,196 134,-1,0 1
0109,265,ĉ,2,196 137,0108,264,Ĉ,2,196 136,-1,0 1
010B,267,ċ,2,196 139,010A,266,Ċ,2,196 138,-1,0 1
010D,269,č,2,196 141,010C,268,Č,2,196 140,-1,0 1
010F,271,ď,2,196 143,010E,270,Ď,2,196 142,-1,0 1
0111,273,đ,2,196 145,0110,272,Đ,2,196 144,-1,0 1
